eventid,event_name,event_type,date,venue,member1,member2,member3,member4,member5,member6
1,Meeting for new team,Meeting,5/28/16,505 Upham Street,Emily Burns,Sharon Wallace,Betty Matthews,Donna Lawson,Philip Hawkins,Rose Sanchez
2,Tryout,Tryout,3/27/16,00065 Sunfield Hill,Cynthia Sanders,Julia Kennedy,Scott Gilbert,Denise Richardson,Denise Ferguson,Norma Chapman
3,Meeting rescheduled,Meeting,3/4/16,19061 Charing Cross Parkway,Wayne Howard,Paul Jacobs,Alice King,Patrick Cook,John Campbell,Carolyn Bryant
4,Practice for team A,Practice,11/12/16,5 Saint Paul Hill,Steve Bell,Robert Vasquez,Jack Patterson,Larry Day,Carl Gonzalez,Clarence Schmidt
5,Match with Team Z,Match,11/14/16,2 Bluestem Place,Elizabeth Cunningham,Denise Wagner,Kathy Frazier,Susan Gardner,Ashley Hicks,Clarence James
6,Cardguard,Movies,2/2/16,7 Norway Maple Avenue,Anna Dixon,Rose Cook,Richard Fernandez,Doris Knight,Frank Burke,Jennifer Banks
7,Sonair,Kids,6/14/16,086 Straubel Parkway,John Fisher,Benjamin Perry,Jason Riley,Sandra Mccoy,Robert Sanders,Shawn Perkins
8,Span,Home,1/15/16,72758 Ridgeview Trail,Theresa Howell,Joshua Meyer,Ruby Wright,Phyllis Cook,Jennifer James,Anne Jenkins
9,Stronghold,Clothing,5/6/16,76 Declaration Center,Andrea Moore,Martha Hughes,Joan Reed,Judith Wright,Susan Carroll,Lisa Wright
10,Namfix,Automotive,5/31/16,91 Arapahoe Lane,Brian Howell,Debra Bradley,Nicole Nguyen,Jacqueline Anderson,Edward Reynolds,Robert Morrison
11,Tres-Zap,Tools,7/19/16,44040 Loeprich Pass,Rose Tucker,Gregory Robertson,Virginia Lynch,Laura West,David Martinez,David Walker
12,Wrapsafe,Health,1/22/16,2 Burning Wood Alley,Anthony Reid,Adam Romero,Margaret Holmes,Shawn Ward,Wanda Larson,Kathy Snyder
13,Bitwolf,Sports,7/6/16,4 Brentwood Avenue,Emily Graham,Steve Spencer,Julia Dean,Annie Young,Gregory Williamson,Anne Morrison
14,Trippledex,Clothing,6/12/16,2076 Hoard Hill,Stephanie Wagner,Ernest Little,Gregory Bell,David Hall,Martha Porter,Kathryn Myers
15,Sonsing,Kids,7/6/16,85043 Park Meadow Drive,Barbara Grant,Alice Carter,Evelyn Richardson,Helen Cole,Anne Lopez,John Ramos
16,Redhold,Toys,2/12/16,352 Charing Cross Trail,George Baker,Janet Martin,Clarence Alvarez,Jane Dixon,Lillian Dean,Chris Black
17,Subin,Kids,6/25/16,06779 Onsgard Drive,Andrew Elliott,Dennis Bradley,Ralph Anderson,Theresa Gardner,Philip Reed,Virginia Ward
18,Aerified,Garden,11/23/16,365 American Ash Trail,Bruce Wood,George Watson,Janet Morales,Diana Walker,Jennifer Gomez,Rose Graham
